GTFS Stop ID,GTFS Latitude,GTFS Longitude,State
R01,40.775036,-73.912034,NY
R03,40.770258,-73.917843,NY
R04,40.766779,-73.921479,NY
R05,40.76182,-73.925508,NY
R06,40.756804,-73.929575,NY
R08,40.752882,-73.932755,NY
R11,40.76266,-73.967258,NY
R13,40.764811,-73.973347,NY
R14,40.764664,-73.980658,NY
R15,40.759901,-73.984139,NY
R16,40.754672,-73.986754,NY
R17,40.749567,-73.98795,NY
R18,40.745494,-73.988691,NY
R19,40.741303,-73.989344,NY
R20,40.735736,-73.990568,NY
R21,40.730328,-73.992629,NY
R22,40.724329,-73.997702,NY
R23,40.719527,-74.001775,NY
Q01,40.718383,-74.00046,NY
R24,40.713282,-74.006978,NY
R25,40.710668,-74.011029,NY
R26,40.70722,-74.013342,NY
R27,40.703087,-74.012994,NY
R28,40.6941,-73.991777,NY
R29,40.69218,-73.985942,NY
R30,40.690635,-73.981824,NY
R31,40.683666,-73.97881,NY
R32,40.677316,-73.98311,NY
R33,40.670847,-73.988302,NY
R34,40.665414,-73.992872,NY
R35,40.660397,-73.998091,NY
R36,40.655144,-74.003549,NY
R39,40.648939,-74.010006,NY
R40,40.645069,-74.014034,NY
R41,40.641362,-74.017881,NY
R42,40.634967,-74.023377,NY
R43,40.629742,-74.02551,NY
R44,40.622687,-74.028398,NY
R45,40.616622,-74.030876,NY
D24,40.68446,-73.97689,NY
D25,40.67705,-73.972367,NY
D26,40.661614,-73.962246,NY
D27,40.655292,-73.961495,NY
D28,40.650527,-73.962982,NY
D29,40.644031,-73.964492,NY
D30,40.640927,-73.963891,NY
D31,40.635082,-73.962793,NY
D32,40.62927,-73.961639,NY
D33,40.625039,-73.960803,NY
D34,40.617618,-73.959399,NY
D35,40.60867,-73.957734,NY
D37,40.5993,-73.955929,NY
D38,40.595246,-73.955161,NY
D39,40.586896,-73.954155,NY
D40,40.577621,-73.961376,NY
D41,40.576312,-73.968501,NY
D42,40.576127,-73.975939,NY
D43,40.577422,-73.981233,NY
B12,40.646292,-73.994324,NY
B13,40.640914,-73.994304,NY
B14,40.63626,-73.994791,NY
B15,40.631435,-73.995476,NY
B16,40.626472,-73.996895,NY
B17,40.619589,-73.998864,NY
B18,40.613501,-74.00061,NY
B19,40.607954,-74.001736,NY
B20,40.604556,-73.998168,NY
B21,40.601875,-73.993728,NY
B22,40.597704,-73.986829,NY
B23,40.588841,-73.983765,NY
N02,40.635064,-74.011719,NY
N03,40.631386,-74.005351,NY
N04,40.624842,-73.996353,NY
N05,40.620671,-73.990414,NY
N06,40.61741,-73.985026,NY
N07,40.611815,-73.981848,NY
N08,40.603923,-73.980353,NY
N09,40.597473,-73.979137,NY
N10,40.592721,-73.97823,NY
J12,40.700492,-73.828294,NY
J13,40.697418,-73.836345,NY
J14,40.695178,-73.84433,NY
J15,40.693879,-73.851576,NY
J16,40.692435,-73.86001,NY
J17,40.691324,-73.867139,NY
J19,40.689941,-73.87255,NY
J20,40.683194,-73.873785,NY
J21,40.68141,-73.880039,NY
J22,40.679947,-73.884639,NY
J23,40.678024,-73.891688,NY
J24,40.676992,-73.898654,NY
J27,40.679498,-73.904512,NY
J28,40.682893,-73.910456,NY
J29,40.68637,-73.916559,NY
J30,40.68963,-73.92227,NY
J31,40.693342,-73.928814,NY
M11,40.697207,-73.935657,NY
M12,40.70026,-73.941126,NY
M13,40.703869,-73.947408,NY
M14,40.70687,-73.953431,NY
M16,40.708359,-73.957757,NY
M18,40.718315,-73.987437,NY
M19,40.72028,-73.993915,NY
M20,40.718092,-73.999892,NY
M21,40.713243,-74.003401,NY
M22,40.710374,-74.007582,NY
M23,40.706476,-74.011056,NY
M01,40.711396,-73.889601,NY
M04,40.706186,-73.895877,NY
M05,40.704423,-73.903077,NY
M06,40.702762,-73.90774,NY
M08,40.69943,-73.912385,NY
M09,40.698664,-73.919711,NY
M10,40.697857,-73.927397,NY
L01,40.739777,-74.002578,NY
L02,40.737335,-73.996786,NY
L03,40.734789,-73.99073,NY
L05,40.732849,-73.986122,NY
L06,40.730953,-73.981628,NY
L08,40.717304,-73.956872,NY
L10,40.714063,-73.950275,NY
L11,40.714565,-73.944053,NY
L12,40.711926,-73.94067,NY
L13,40.707739,-73.93985,NY
L14,40.706152,-73.933147,NY
L15,40.706607,-73.922913,NY
L16,40.703811,-73.918425,NY
L17,40.699814,-73.911586,NY
L19,40.695602,-73.904084,NY
L20,40.688764,-73.904046,NY
L21,40.682829,-73.905249,NY
L22,40.678856,-73.90324,NY
L24,40.675345,-73.903097,NY
L25,40.669367,-73.901975,NY
L26,40.664038,-73.900571,NY
L27,40.658733,-73.899232,NY
L28,40.650573,-73.899485,NY
L29,40.646654,-73.90185,NY
S01,40.680596,-73.955827,NY
S03,40.674772,-73.957624,NY
S04,40.670343,-73.959245,NY
A02,40.868072,-73.919899,NY
A03,40.865491,-73.927271,NY
A05,40.859022,-73.93418,NY
A06,40.851695,-73.937969,NY
A07,40.847391,-73.939704,NY
A09,40.840719,-73.939561,NY
A10,40.836013,-73.939892,NY
A11,40.830518,-73.941514,NY
A12,40.824783,-73.944216,NY
