GTFS Stop ID,GTFS Latitude,GTFS Longitude,Grad/Bach Deg 2014
S31,40.643748,-74.073643,0.465352829
S30,40.636949,-74.074835,0.194241983
S29,40.627915,-74.075162,0.194241983
S28,40.621319,-74.071402,0.391304348
S27,40.603117,-74.084087,0.380831826
S26,40.596612,-74.087368,0.27212899
S25,40.588849,-74.09609,0.314457831
S24,40.583591,-74.103338,0.217425126
S23,40.578965,-74.109704,0.314682689
S22,40.57348,-74.11721,0.32371134
S21,40.56511,-74.12632,0.417279412
S20,40.5564,-74.136907,0.281914894
S19,40.551231,-74.151399,0.285219649
S18,40.544601,-74.16457,0.285219649
S17,40.54046,-74.178217,0.315164434
S16,40.533674,-74.191794,0.315164434
S15,40.525507,-74.200064,0.35870049
S14,40.52241,-74.217847,0.280481769
S13,40.519631,-74.229141,0.280481769
S11,40.516578,-74.242096,0.259993604
S09,40.512764,-74.251961,0.259993604
S04,40.670343,-73.959245,0.278779928
S03,40.674772,-73.957624,0.462765957
S01,40.680596,-73.955827,0.412773723
R45,40.616622,-74.030876,0.515545061
R44,40.622687,-74.028398,0.412794613
R43,40.629742,-74.02551,0.557025384
R42,40.634967,-74.023377,0.287713841
R41,40.641362,-74.017881,0.140098099
R40,40.645069,-74.014034,0.264973346
R39,40.648939,-74.010006,0.271645022
R36,40.655144,-74.003549,0.191393994
R35,40.660397,-73.998091,0.29254571
R34,40.665414,-73.992872,0.485801995
R33,40.670847,-73.988302,0.642973193
R32,40.677316,-73.98311,0.772491909
R31,40.683666,-73.97881,0.586690018
R30,40.690635,-73.981824,0.550782449
R29,40.69218,-73.985942,0.796875
R28,40.6941,-73.991777,0.841103086
R27,40.703087,-74.012994,0.722810395
R26,40.70722,-74.013342,0.840752913
R25,40.710668,-74.011029,0.840752913
R24,40.713282,-74.006978,0.697018533
R23,40.719527,-74.001775,0.734545455
R22,40.724329,-73.997702,0.689232565
R21,40.730328,-73.992629,0.842170671
R20,40.735736,-73.990568,0.834766863
R19,40.741303,-73.989344,0.766064982
R18,40.745494,-73.988691,0.752247191
R17,40.749567,-73.98795,0.634974533
R16,40.754672,-73.986754,0.44
R15,40.759901,-73.984139,0.797131148
R14,40.764664,-73.980658,0.808947368
R11,40.76266,-73.967258,0.823145124
R08,40.752882,-73.932755,0.247282609
R06,40.756804,-73.929575,0.393278433
R05,40.76182,-73.925508,0.434561246
R04,40.766779,-73.921479,0.443234185
R03,40.770258,-73.917843,0.415272727
R01,40.775036,-73.912034,0.330065359
Q05,40.784318,-73.947152,0.4256472
Q04,40.777891,-73.951787,0.871022247
Q03,40.768799,-73.958424,0.783828687
Q01,40.718383,-74.00046,0.697018533
N10,40.592721,-73.97823,0.179601788
N09,40.597473,-73.979137,0.141025641
N08,40.603923,-73.980353,0.195644891
N07,40.611815,-73.981848,0.254920942
N06,40.61741,-73.985026,0.168433005
N05,40.620671,-73.990414,0.184878913
N04,40.624842,-73.996353,0.132398754
N03,40.631386,-74.005351,0.147959184
N02,40.635064,-74.011719,0.059507524
M23,40.706476,-74.011056,0.832310838
M22,40.710374,-74.007582,0.648432821
M21,40.713243,-74.003401,0.172598546
M20,40.718092,-73.999892,0.342186736
M19,40.72028,-73.993915,0.372928582
M18,40.718315,-73.987437,0.372928582
M16,40.708359,-73.957757,0.115407147
M14,40.70687,-73.953431,0.115407147
M13,40.703869,-73.947408,0.04676259
M12,40.70026,-73.941126,0.206896552
M11,40.697207,-73.935657,0.291306558
M10,40.697857,-73.927397,0.177009873
M09,40.698664,-73.919711,0.133112981
M08,40.69943,-73.912385,0.144707459
M06,40.702762,-73.90774,0.136520737
M05,40.704423,-73.903077,0.159724613
M04,40.706186,-73.895877,0.194687842
M01,40.711396,-73.889601,0.194687842
L29,40.646654,-73.90185,0.182359307
L28,40.650573,-73.899485,0.232445521
L27,40.658733,-73.899232,0.204371585
L26,40.664038,-73.900571,0.033333333
L25,40.669367,-73.901975,0.074626866
L24,40.675345,-73.903097,0.11327832
L22,40.678856,-73.90324,0.206759443
L21,40.682829,-73.905249,0.151950719
L20,40.688764,-73.904046,0.140350877
L19,40.695602,-73.904084,0.193025142
L17,40.699814,-73.911586,0.144707459
L16,40.703811,-73.918425,0.159695817
L15,40.706607,-73.922913,0.210817455
L14,40.706152,-73.933147,0.402711864
